product_name,product_price,original_price,discount_percentage,product_rating,reviews_count,estimated_amount_bought
"DELL G7630 GAMING 13TH GEN INTEL CORE I9 UP TO 5.4GHZ 16GB RAM 1TB SSD 16"" RTX 4060 (8GB) WINS 11","₦ 2,802,000","₦ 3,190,000",12%,N/A,1,10.0
DELL Latitude 7400 TOUCHSCREEN Core I7/16GB RAM 512GB SSD/BACKLIGHT KEYBOARD/WIN 11 PRO+BAG,"₦ 750,000","₦ 920,000",18%,4.7,7,70.0
Hp EliteBook 840 G5 TOUCHSCREEN Core I7-32GB RAM/1TB SSD/Backlit Keyboard/FP Reader WIN 11 Pro+BAG,"₦ 785,000","₦ 990,000",21%,4.7,3,30.0
Asus Vivobook Go 15 Celeron E510MA-BR583W 15.6-inch 4GB 256GB SSD Win 11,"₦ 340,000",N/A,N/A,4.5,2,20.0
Hp EliteBook 840 G5 TOUCHSCREEN Core I5-8GB RAM/256GB SSD/Backlit Keyboard/Windows 11 Pro+BAG,"₦ 515,000","₦ 750,000",31%,N/A,0,0.0
"Hp ProBook X360- TOUCH Intel Celeron 256GB SSD, 4GB RAM +BAG","₦ 220,000","₦ 800,000",73%,N/A,1,10.0
Hp EliteBook 830 G5 Intel Corei5-16GB RAM/1TB SSD/Backlit Keyboard/FP Reader Win11 Pro+pouch Mouse,"₦ 510,000",N/A,N/A,3.5,2,20.0
DELL Latitude 5410 TOUCHSCREEN  Core I5 10th Gen -512GB SSD/16GB RAM Keyboard BACKLIT /WIN 11+ BAG,"₦ 550,000","₦ 650,000",15%,4.8,6,60.0
Hp EliteBook 845 G7 AMD RYZEN 7 PRO - 4750U-16GB RAM/512GB SSD/Backlit Key/FP Reader Win11 Pro +BAG,"₦ 630,000","₦ 800,000",21%,N/A,0,0.0
DELL Latitude 7490 TOUCHSCREEN 512GB SSD/16GB RAM/ Intel Core I7/ BACKLIGHT KEYBOARD-WIN 11PRO+BAG,"₦ 590,000","₦ 670,000",12%,N/A,2,20.0
Hp ProBook 11 X360- TOUCH- 256GB SSD/4GB RAM-Intel CELERON QUAD CORE WIN10 Pro +Mouse &USB Light,"₦ 215,000","₦ 620,000",65%,N/A,0,0.0
"DELL Dell, CHROMEBOOK 11 G4, INTEL CELERON, 4GB RAM, 16GB SSD,","₦ 155,000","₦ 180,000",14%,N/A,0,0.0
"Hp ProBook X360 11Touchscreen Core I5-8GB DDR4, 512GB SSD Win10 Pro Pouch Mouse","₦ 365,000","₦ 410,000",11%,3.9,7,70.0
